"logFC","logCPM","PValue","FDR"
"FOSL2",2.0261319462832,2.86726931460087,0.0003160675043664,0.0384401298810416
"SPAG4",2.25054338388107,3.02772908814597,0.000320356484626007,0.0385759957031831
"VEGFA",0.984592415418766,4.27675758567434,0.000342794420148866,0.0408731935083383
"LGALS1",1.00917707807129,7.05985998862147,0.000354350257796939,0.041817743814568
"EDARADD",0.843005701252169,4.71741911342092,0.00035759294168024,0.041817743814568
"YEATS2",1.0176320890256,4.07354509452927,0.000364013170394327,0.04216312550796
"LOX",3.28913631049797,2.60366830018283,0.000443950215786947,0.0509370049471779
"RAB3A",1.78955725909674,2.93080795170565,0.000477313931341582,0.0542531965698722
"NCKIPSD",0.891914053114831,4.30569648679475,0.000506675969119815,0.0570573438558814
"NDUFB8",0.772580876261773,6.20371572744801,0.000522917151277013,0.0583460403103765
"ALKBH5",0.753036704328417,5.83493681570352,0.000538778029286618,0.0584254063943692
"RNF122",2.01083561575378,2.77396842680354,0.000540002977418135,0.0584254063943692
"FGF11",1.92750791341505,2.78014551161808,0.000540002977418135,0.0584254063943692
"KDM4B",1.64734689102084,3.07805476237104,0.000542844180444312,0.0584254063943692
"HIST1H2BJ",-0.830629883186596,8.11318905219141,0.000551475622435606,0.0588337414040512
"FAM110C",1.74894888585825,3.17056819959295,0.000591760983155882,0.0623300776222929
"PPP2R5B",1.36529592551971,3.34485324622732,0.000594498355877814,0.0623300776222929
"MPI",0.878471900509704,4.4680435438864,0.000609232731107614,0.0633289613310325
"PGM1",0.982761146068584,4.05514413406782,0.000662175646785817,0.068248984883128
"HK1",0.93651433195203,4.07953335944969,0.00074117665268186,0.0757494995791326
"PRELID2",1.27305453255627,3.44022057730069,0.000770284492967723,0.0775943401027023
"DPCD",0.764490086305448,4.76219718311282,0.000771987761258591,0.0775943401027023
"GPR160",2.56943455461802,2.73749772705788,0.000821960133464339,0.0819399929769942
"HLA-C",0.834971522209646,6.50944798114288,0.00083986548408887,0.0830442603047873
"HLA-B",1.21167743313235,6.33695836171092,0.000861457457449584,0.08449230320566
"C20orf46",2.01737401242122,2.72224113136253,0.000949315592699839,0.0923646099073235
"PTTG1IP",0.867403457435618,5.33499878331069,0.000998079207299906,0.0963384072950909
"AK2",0.718379780347881,5.41569125523605,0.00102699661172035,0.0983490771003375
"MIR103-2",1.21649838499767,3.42929284350102,0.00110910308398254,0.105382122714028
"RYBP",0.934093961744712,4.19155097987794,0.00119251962433386,0.112429640861615
"UPRT",1.64676928290804,2.86126998869015,0.00120436752137531,0.112614560279781
"NAMPT",0.848954047946628,5.20204299205714,0.0012130001148373,0.112614560279781
"DNAJB2",0.841951791328248,4.2405997619367,0.00123756765107836,0.113934757058345
"MIR21",1.53195089981073,4.15151280953461,0.0012459564782733,0.113934757058345
"NFIL3",1.28787705792365,3.29166167478198,0.00128236724118821,0.115321253418672
"PAQR7",0.994081825476133,3.83654226265331,0.00129277434911318,0.115321253418672
"RIOK3",1.20748565095749,4.28158386268658,0.0012965726669846,0.115321253418672
"ZNF395",0.927377958488271,4.0549079314794,0.00131592449160334,0.115321253418672
"C4orf47",2.62949511527731,2.36656282969726,0.00131801136533427,0.115321253418672
